###################################################################################################
#                                                                                     3.5.5-Miranda
#          
#......................................................................../  022-047Ti //   3.500000
#                                                                                 SYSTEM PARAMETERS
#            AtomicNum    MassNum
#    Target         22         47
#  Incident          1          2
#            Ecms[MeV]  Elab[MeV] ReduceMass WaveNumber
#            023-049V       gamma    neutron     proton      alpha   deuteron
 SpcSum[mb]            0.0000e+00 2.3615e+01 2.0506e+01 1.3838e+00 0.0000e+00
 Emean[MeV]            0.0000e+00 3.5173e+00 5.9576e+00 6.6311e+00 0.0000e+00
#          
#           TotalPreEq   Compound   Fraction
  Sigma[mb] 4.5505e+01 2.7813e+02 1.6361e-01
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            023-049V       gamma    neutron     proton      alpha   deuteron
 SpcSum[mb]            1.8978e-01 1.4248e+02 7.7687e+01 1.2185e+01 2.2977e-01
 Emean[MeV]            5.7888e+00 2.6120e+00 5.8349e+00 7.9938e+00 3.2567e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 0 0 0 0 0             023-049V 
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
 35  2.8615    6.5-                          2.3212e-04                       1.0000e-13
                       29  2.7275     0.0000               0.1340 0.0000e+00
                       19  2.2633     0.2200               0.5982 5.1045e-05
                        6  1.1553     0.7800               1.7062 1.8102e-04
                        4  1.0216     0.0000               1.8399 0.0000e+00
 34  2.8109    2.5-                          5.4048e-04                       1.2000e-14
                       16  2.1820     0.1416               0.6289 7.6512e-05
                        5  1.1405     0.1073               1.6704 5.7970e-05
                        1  0.0906     0.4292               2.7203 2.3183e-04
                        0  0.0000     0.3219               2.8109 1.7387e-04
 33  2.8083    2.5+                          6.5501e-04                       3.2000e-13
                        9  1.6027     0.0890               1.2056 5.8293e-05
                        5  1.1405     0.0822               1.6678 5.3808e-05
                        3  0.7483     0.1849               2.0600 1.2108e-04
                        2  0.1529     0.3014               2.6554 1.9729e-04
                        0  0.0000     0.3425               2.8083 2.2417e-04
 32  2.7966    3.5+                          7.1672e-04
                        4  1.0216     0.3787               1.7750 2.7138e-04
                        0  0.0000     0.6213               2.7966 4.4479e-04
 31  2.7864    4.5-                          5.5457e-04                       1.1000e-14
                        9  1.6027     0.0301               1.1837 1.6718e-05
                        6  1.1553     0.2398               1.6311 1.3296e-04
                        4  1.0216     0.4500               1.7648 2.4950e-04
                        1  0.0906     0.0401               2.6958 2.2206e-05
                        0  0.0000     0.2400               2.7864 1.3301e-04
 30  2.7410    5.5+                          4.9168e-04                       3.9000e-13
                       15  2.1783     0.1243               0.5627 6.1081e-05
                        9  1.6027     0.4585               1.1383 2.2540e-04
                        6  1.1553     0.3714               1.5857 1.8256e-04
                        4  1.0216     0.0458               1.7194 2.2536e-05
 29  2.7275    7.5-                          1.5392e-04                       1.0000e-13
                       19  2.2633     0.5002               0.4642 7.6922e-05
                        4  1.0216     0.4998               1.7059 7.6913e-05
 28  2.6800    4.5-                          6.1314e-04
                        6  1.1553     0.5000               1.5247 3.0653e-04
                        4  1.0216     0.5000               1.6584 3.0651e-04
 27  2.6713    4.5-                          6.1823e-04                       3.3300e-11
                        4  1.0216     0.9001               1.6497 5.5634e-04
                        1  0.0906     0.0396               2.5807 2.4478e-05
                        0  0.0000     0.0603               2.6713 3.7273e-05
 26  2.6710    5.5-                          4.6894e-04                       1.1000e-14
                        6  1.1553     0.2481               1.5157 1.1633e-04
                        4  1.0216     0.7519               1.6494 3.5254e-04
 25  2.4083    3.5-                          8.8641e-04                       8.0000e-15
                       15  2.1783     0.0351               0.2300 3.0994e-05
                        6  1.1553     0.1016               1.2530 9.0043e-05
                        5  1.1405     0.1832               1.2678 1.6235e-04
                        4  1.0216     0.0389               1.3867 3.4439e-05
                        1  0.0906     0.0861               2.3177 7.6252e-05
                        0  0.0000     0.5553               2.4083 4.9196e-04
 24  2.3880    2.5+                          9.5134e-04                       5.7000e-14
                       14  1.9947     0.0950               0.3933 9.0293e-05
                        5  1.1405     0.0668               1.2475 6.3584e-05
                        3  0.7483     0.5617               1.6397 5.3430e-04
                        2  0.1529     0.0478               2.2351 4.5420e-05
                        1  0.0906     0.1618               2.2974 1.5384e-04
                        0  0.0000     0.0669               2.3880 6.3580e-05
 23  2.3534    4.5-                          8.3894e-04                       3.3000e-14
                        6  1.1553     0.0504               1.1981 4.2245e-05
                        4  1.0216     0.3231               1.3318 2.7103e-04
                        1  0.0906     0.0606               2.2628 5.0789e-05
                        0  0.0000     0.5660               2.3534 4.7462e-04
 22  2.3094    1.5-                          6.0129e-04                       1.4000e-14
                        3  0.7483     0.0739               1.5611 4.4436e-05
                        2  0.1529     0.3346               2.1565 2.0111e-04
                        1  0.0906     0.3891               2.2188 2.3386e-04
                        0  0.0000     0.2024               2.3094 1.2164e-04
 21  2.2790    0.5-                          3.0380e-04
                        3  0.7483     0.3333               1.5307 1.0127e-04
                       12  1.6464     0.3333               0.6326 1.0127e-04
                       14  1.9947     0.3333               0.2843 1.0127e-04
 20  2.2653    2.5-                          8.8335e-04                       3.5000e-14
                       11  1.6432     0.0503               0.6221 4.4441e-05
                        2  0.1529     0.9497               2.1124 8.3859e-04
 19  2.2633    7.5-                          4.2418e-04                       6.5000e-13
                        4  1.0216     1.0000               1.2417 4.2413e-04
 18  2.2340    2.5-                          9.0826e-04                       1.2000e-14
                       13  1.6614     0.1401               0.5726 1.2718e-04
                        2  0.1529     0.1702               2.0811 1.5453e-04
                        1  0.0906     0.6398               2.1434 5.8090e-04
                        0  0.0000     0.0499               2.2340 4.5312e-05
 17  2.2040    2.5-                          9.3265e-04
                        3  0.7483     0.2000               1.4557 1.8653e-04
                        5  1.1405     0.2000               1.0635 1.8653e-04
                        7  1.1830     0.2000               1.0210 1.8653e-04
                        9  1.6027     0.2000               0.6013 1.8653e-04
                       14  1.9947     0.2000               0.2093 1.8653e-04
 16  2.1820    3.5-                          1.1621e-03                       3.3000e-14
                        6  1.1553     0.2285               1.0267 2.6554e-04
                        1  0.0906     0.7143               2.0914 8.2989e-04
                        0  0.0000     0.0572               2.1820 6.6394e-05
 15  2.1783    4.5+                          1.2779e-03                       5.6000e-13
                        9  1.6027     0.0700               0.5756 8.9471e-05
                        6  1.1553     0.0000               1.0230 0.0000e+00
                        5  1.1405     0.2101               1.0378 2.6844e-04
                        4  1.0216     0.0998               1.1567 1.2748e-04
                        0  0.0000     0.6201               2.1783 7.9178e-04
 14  1.9947    1.5+                          1.2954e-03                       4.9000e-13
                        5  1.1405     0.2901               0.8542 3.7571e-04
                        3  0.7483     0.1570               1.2464 2.0335e-04
                        2  0.1529     0.3414               1.8418 4.4198e-04
                        1  0.0906     0.2116               1.9041 2.7398e-04
 13  1.6614    1.5-                          1.1593e-03                       1.6000e-14
                        3  0.7483     0.0499               0.9131 5.7862e-05
                        2  0.1529     0.3401               1.5085 3.9423e-04
                        1  0.0906     0.5200               1.5708 6.0276e-04
                        0  0.0000     0.0900               1.6614 1.0428e-04
 12  1.6464    0.5+                          6.7514e-04                       6.6000e-12
                        3  0.7483     0.4652               0.8982 3.1403e-04
                        2  0.1529     0.5348               1.4935 3.6099e-04
 11  1.6432    2.5-                          1.5144e-03                       3.6000e-14
                        2  0.1529     0.9766               1.4903 1.4787e-03
                        1  0.0906     0.0234               1.5526 3.5491e-05
 10  1.6100    5.5-                          1.2669e-03
                        4  1.0216     1.0000               0.5884 1.2669e-03
  9  1.6027    3.5+                          2.5982e-03                       4.7000e-13
                        6  1.1553     0.0089               0.4474 2.3165e-05
                        5  1.1405     0.0753               0.4622 1.9547e-04
                        3  0.7483     0.0836               0.8544 2.1717e-04
                        1  0.0906     0.5574               1.5120 1.4478e-03
                        0  0.0000     0.2748               1.6027 7.1376e-04
  8  1.5145    2.5-                          1.6132e-03                       3.1000e-14
                        3  0.7483     0.1719               0.7663 2.7723e-04
                        2  0.1529     0.4644               1.3616 7.4911e-04
                        1  0.0906     0.0943               1.4239 1.5208e-04
                        0  0.0000     0.2694               1.5145 4.3454e-04
  7  1.1830    3.5+                          2.9466e-03
                        0  0.0000     0.3333               1.1830 9.8220e-04
                        1  0.0906     0.3333               1.0924 9.8220e-04
                        6  1.1553     0.3333               0.0277 9.8220e-04
  6  1.1553    4.5-                          4.5445e-03                       1.1000e-12
                        4  1.0216     0.0295               0.1337 1.3230e-04
                        1  0.0906     0.2240               1.0647 1.0179e-03
                        0  0.0000     0.7465               1.1553 3.3922e-03
  5  1.1405    2.5+                          3.9115e-03                       1.3000e-12
                        3  0.7483     0.0564               0.3923 2.2034e-04
                        2  0.1529     0.1684               0.9876 6.5872e-04
                        1  0.0906     0.2387               1.0499 9.3364e-04
                        0  0.0000     0.5364               1.1405 2.0982e-03
  4  1.0216    5.5-                          6.0489e-03                       3.4000e-12
                        0  0.0000     1.0000               1.0216 6.0481e-03
  3  0.7483    1.5+                          4.5390e-03                       5.3000e-12
                        2  0.1529     0.5400               0.5953 2.4506e-03
                        1  0.0906     0.4600               0.6576 2.0876e-03
  2  0.1529    1.5-                          1.0720e-02                       1.9900e-08
                        1  0.0906     0.4149               0.0623 4.1233e-03
                        0  0.0000     0.5851               0.1529 5.8483e-03
  1  0.0906    2.5-                          1.8144e-02                       2.2800e-10
                        0  0.0000     1.0000               0.0906 1.7638e-02
  0  0.0000    3.5-                          4.6023e-02                       2.8510e+07
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            023-048V       gamma     proton
 SpcSum[mb]            5.4015e+02 5.0885e-01
 Emean[MeV]            1.5934e+00 9.5075e-01
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           1 0 0 0 0 0             023-048V 
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
 32  2.2893    1.0+                          1.4383e+00
                        1  0.3083     1.0000               1.9810 1.4379e+00
 31  2.2580    2.0+                          2.1411e+00
                        4  0.5187     0.1429               1.7393 3.0587e-01
                        7  0.7450     0.1429               1.5130 3.0587e-01
                       10  1.0558     0.1429               1.2022 3.0587e-01
                       22  1.7640     0.1429               0.4940 3.0587e-01
                       24  1.9985     0.1429               0.2595 3.0587e-01
                       26  2.0980     0.1429               0.1600 3.0587e-01
                       28  2.1870     0.1429               0.0710 3.0587e-01
 30  2.2318    8.0+                          4.3878e-01                       2.1500e-13
                       13  1.2545     0.5405               0.9774 2.3714e-01
                        6  0.6273     0.4595               1.6045 2.0159e-01
 29  2.1977    2.0+                          2.2779e+00
                       10  1.0558     0.2481               1.1419 5.6510e-01
                        0  0.0000     0.7519               2.1977 1.7120e+00
 28  2.1870    2.0-                          2.6733e+00
                        1  0.3083     0.1429               1.8787 3.8189e-01
                        2  0.4207     0.1429               1.7663 3.8189e-01
                        8  0.7650     0.1429               1.4220 3.8189e-01
                       16  1.5212     0.1429               0.6658 3.8189e-01
                       19  1.6915     0.1429               0.4955 3.8189e-01
                       23  1.7810     0.1429               0.4060 3.8189e-01
                       27  2.1200     0.1429               0.0670 3.8189e-01
 27  2.1200    3.0+                          3.0476e+00
                        7  0.7450     0.1429               1.3750 4.3537e-01
                       10  1.0558     0.1429               1.0642 4.3537e-01
                       11  1.0992     0.1429               1.0208 4.3537e-01
                       17  1.5575     0.1429               0.5625 4.3537e-01
                       22  1.7640     0.1429               0.3560 4.3537e-01
                       24  1.9985     0.1429               0.1216 4.3537e-01
                       26  2.0980     0.1429               0.0220 4.3537e-01
 26  2.0980    2.0-                          3.3420e+00
                        1  0.3083     0.1667               1.7897 5.5700e-01
                        2  0.4207     0.1667               1.6773 5.5700e-01
                        8  0.7650     0.1667               1.3330 5.5700e-01
                       16  1.5212     0.1667               0.5768 5.5700e-01
                       19  1.6915     0.1667               0.4065 5.5700e-01
                       23  1.7810     0.1667               0.3170 5.5700e-01
 25  2.0623    5.0-                          2.0254e+00                       2.1000e-12
                       17  1.5575     0.5182               0.5047 1.0491e+00
                       10  1.0558     0.2228               1.0064 4.5121e-01
                        5  0.6134     0.2590               1.4489 5.2446e-01
 24  1.9985    3.0-                          3.9195e+00
                       11  1.0992     0.5000               0.8993 1.9598e+00
                        7  0.7450     0.5000               1.2534 1.9598e+00
 23  1.7810    3.0+                          4.7245e+00
                        5  0.6134     0.4206               1.1676 1.9869e+00
                        1  0.3083     0.4292               1.4727 2.0275e+00
                        0  0.0000     0.1502               1.7810 7.0946e-01
 22  1.7640    3.0-                          4.8173e+00
                        0  0.0000     0.1429               1.7640 6.8819e-01
                        1  0.3083     0.1429               1.4557 6.8819e-01
                        5  0.6134     0.1429               1.1506 6.8819e-01
                        8  0.7650     0.1429               0.9990 6.8819e-01
                       12  1.1208     0.1429               0.6432 6.8819e-01
                       16  1.5212     0.1429               0.2428 6.8819e-01
                       19  1.6915     0.1429               0.0725 6.8819e-01
 21  1.7503    6.0+                          1.5949e+00
                       14  1.2646     0.1364               0.4857 2.1738e-01
                        6  0.6273     0.0455               1.1230 7.2486e-02
                        5  0.6134     0.0606               1.1369 9.6647e-02
                        3  0.4279     0.7575               1.3224 1.2081e+00
 20  1.7300    5.0+                          2.4731e+00
                       11  1.0992     0.2500               0.6308 6.1829e-01
                       15  1.3260     0.2500               0.4040 6.1829e-01
                       17  1.5575     0.2500               0.1725 6.1829e-01
                       18  1.6856     0.2500               0.0444 6.1829e-01
 19  1.6915    2.0+                          5.5269e+00
                        4  0.5187     0.3103               1.1728 1.7149e+00
                        0  0.0000     0.6897               1.6915 3.8111e+00
 18  1.6856    5.0-                          3.5791e+00                       6.0000e-13
                       11  1.0992     0.9091               0.5864 3.2527e+00
                        0  0.0000     0.0909               1.6856 3.2527e-01
 17  1.5575    4.0-                          6.5417e+00                       9.7000e-13
                       11  1.0992     0.0853               0.4583 5.5756e-01
                       10  1.0558     0.7752               0.5017 5.0688e+00
                        7  0.7450     0.1395               0.8125 9.1234e-01
 16  1.5212    2.0+                          6.2821e+00                       3.0000e-12
                        8  0.7650     0.1982               0.7562 1.2450e+00
                        2  0.4207     0.3513               1.1005 2.2069e+00
                        1  0.3083     0.4504               1.2129 2.8295e+00
 15  1.3260    6.0-                          3.4540e+00
                        3  0.4279     0.2000               0.8981 6.9081e-01
                        6  0.6273     0.2000               0.6987 6.9081e-01
                        9  0.7762     0.2000               0.5498 6.9081e-01
                       13  1.2545     0.2000               0.0716 6.9081e-01
                       14  1.2646     0.2000               0.0614 6.9081e-01
 14  1.2646    5.0+                          4.6854e+00                       1.9000e-12
                        8  0.7650     0.0473               0.4996 2.2155e-01
                        6  0.6273     0.1824               0.6373 8.5439e-01
                        5  0.6134     0.6757               0.6512 3.1649e+00
                        3  0.4279     0.0473               0.8367 2.2155e-01
                        0  0.0000     0.0473               1.2646 2.2157e-01
 13  1.2545    7.0+                          2.7004e+00                       4.1000e-13
                        6  0.6273     0.9804               0.6272 2.6467e+00
                        3  0.4279     0.0196               0.8265 5.2943e-02
 12  1.1208    4.0+                          6.5874e+00
                        1  0.3083     0.3421               0.8125 2.2530e+00
                        0  0.0000     0.6579               1.1208 4.3335e+00
 11  1.0992    4.0-                          1.3706e+01                       4.5000e-12
                        5  0.6134     0.0681               0.4858 9.3339e-01
                        3  0.4279     0.0358               0.6713 4.9117e-01
                        0  0.0000     0.8960               1.0992 1.2280e+01
 10  1.0558    3.0-                          1.5055e+01                       4.5000e-12
                        7  0.7450     0.7985               0.3108 1.1984e+01
                        5  0.6134     0.0796               0.4425 1.1984e+00
                        4  0.5187     0.0741               0.5372 1.1145e+00
                        0  0.0000     0.0478               1.0558 7.1902e-01
  9  0.7762    5.0+                          6.2517e+00
                        0  0.0000     1.0000               0.7762 6.2503e+00
  8  0.7650    3.0+                          1.2615e+01                       2.6000e-12
                        5  0.6134     0.0212               0.1516 2.6543e-01
                        2  0.4207     0.0211               0.3443 2.6548e-01
                        1  0.3083     0.5263               0.4567 6.6358e+00
                        0  0.0000     0.4314               0.7650 5.4412e+00
  7  0.7450    2.0-                          2.5633e+01                       1.7300e-11
                        4  0.5187     0.9200               0.2263 2.3518e+01
                        2  0.4207     0.0313               0.3243 7.9952e-01
                        1  0.3083     0.0487               0.4367 1.2464e+00
  6  0.6273    6.0+                          8.5934e+00                       7.5700e-11
                        3  0.4279     0.4127               0.1994 3.5314e+00
                        0  0.0000     0.5873               0.6273 5.0445e+00
  5  0.6134    4.0+                          1.7629e+01                       1.5000e-11
                        3  0.4279     0.1051               0.1855 1.8443e+00
                        1  0.3083     0.0509               0.3051 8.9237e-01
                        0  0.0000     0.8440               0.6134 1.4874e+01
  4  0.5187    1.0-                          3.5119e+01                       2.7200e-09
                        2  0.4207     0.3445               0.0980 1.1704e+01
                        1  0.3083     0.6555               0.2104 2.2946e+01
  3  0.4279    5.0+                          1.5284e+01                       6.1000e-12
                        0  0.0000     1.0000               0.4279 1.5274e+01
  2  0.4207    1.0+                          2.4958e+01                       1.3500e-10
                        1  0.3083     0.9997               0.1124 2.4548e+01
                        0  0.0000     0.0003               0.4207 7.3642e-03
  1  0.3083    2.0+                          8.0043e+01                       7.1100e-09
                        0  0.0000     1.0000               0.3083 7.9633e+01
  0  0.0000    4.0+                          1.6559e+02                       1.3800e+06
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            022-048Ti      gamma    neutron     proton      alpha
 SpcSum[mb]            3.2405e+02 1.6081e-03 1.5046e-11 2.8563e-09
 Emean[MeV]            2.0921e+00 5.8380e-02 5.9657e-01 2.1287e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 1 0 0 0 0             022-048Ti
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
 62  5.0630    2.0-                          6.5801e-01
                        1  0.9835     0.0435               4.0795 2.8609e-02
                        3  2.4211     0.0435               2.6419 2.8609e-02
                        6  3.0620     0.0435               2.0010 2.8609e-02
                        7  3.2240     0.0435               1.8390 2.8609e-02
                       11  3.3709     0.0435               1.6921 2.8609e-02
                       13  3.6168     0.0435               1.4462 2.8609e-02
                       14  3.6330     0.0435               1.4300 2.8609e-02
                       17  3.7386     0.0435               1.3244 2.8609e-02
                       22  4.0352     0.0435               1.0278 2.8609e-02
                       24  4.0745     0.0435               0.9885 2.8609e-02
                       26  4.1020     0.0435               0.9610 2.8609e-02
                       28  4.2053     0.0435               0.8577 2.8609e-02
                       30  4.2545     0.0435               0.8085 2.8609e-02
                       31  4.3110     0.0435               0.7520 2.8609e-02
                       33  4.3810     0.0435               0.6820 2.8609e-02
                       34  4.3877     0.0435               0.6753 2.8609e-02
                       37  4.4070     0.0435               0.6560 2.8609e-02
                       38  4.4575     0.0435               0.6055 2.8609e-02
                       49  4.7923     0.0435               0.2707 2.8609e-02
                       52  4.8610     0.0435               0.2020 2.8609e-02
                       56  4.9249     0.0435               0.1381 2.8609e-02
                       57  4.9401     0.0435               0.1229 2.8609e-02
                       59  4.9660     0.0435               0.0970 2.8609e-02
 61  4.9925    5.0-                          5.4848e-01
                       23  4.0460     0.6173               0.9465 3.3854e-01
                       21  3.8523     0.1111               1.1402 6.0930e-02
                       18  3.7825     0.1296               1.2100 7.1077e-02
                       12  3.5086     0.1420               1.4839 7.7863e-02
 60  4.9720    0.0+                          1.2670e-01
                       17  3.7386     0.5492               1.2334 6.9577e-02
                        1  0.9835     0.4508               3.9885 5.7048e-02
 59  4.9660    2.0+                          6.4714e-01
                       17  3.7386     0.5492               1.2274 3.5538e-01
                        1  0.9835     0.4508               3.9825 2.9141e-01
 58  4.9560    5.0+                          5.4645e-01                       1.0000e-12
                       23  4.0460     0.1593               0.9100 8.7043e-02
                       18  3.7825     0.4425               1.1735 2.4178e-01
                       12  3.5086     0.1991               1.4474 1.0879e-01
                        9  3.3332     0.1991               1.6228 1.0878e-01
 57  4.9401    2.0+                          6.6072e-01
                       18  3.7825     0.0540               1.1576 3.5686e-02
                        8  3.2398     0.1936               1.7003 1.2789e-01
                        2  2.2957     0.3018               2.6444 1.9927e-01
                        1  0.9835     0.4506               3.9565 2.9739e-01
 56  4.9249    3.0+                          8.0448e-01                       2.1000e-14
                       33  4.3810     0.0402               0.5439 3.2298e-02
                       24  4.0745     0.0502               0.8504 4.0368e-02
                        8  3.2398     0.1890               1.6851 1.5201e-01
                        7  3.2240     0.1299               1.7009 1.0448e-01
                        2  2.2957     0.5908               2.6293 4.7498e-01
 55  4.9147    5.0-                          5.8568e-01                       1.9000e-13
                       23  4.0460     0.2800               0.8687 1.6397e-01
                       18  3.7825     0.5000               1.1322 2.9282e-01
                       12  3.5086     0.2200               1.4061 1.2882e-01
 54  4.9106    4.0+                          7.0401e-01
                       13  3.6168     0.3436               1.2938 2.4187e-01
                       11  3.3709     0.1718               1.5397 1.2093e-01
                        7  3.2240     0.2302               1.6866 1.6203e-01
                        3  2.4211     0.2063               2.4895 1.4515e-01
                        0  0.0000     0.0481               4.9106 3.3862e-02
 53  4.8850    4.0+                          7.1933e-01
                       10  3.3588     0.4285               1.5262 3.0814e-01
                        3  2.4211     0.5715               2.4639 4.1087e-01
 52  4.8610    2.0+                          7.0447e-01                       2.1000e-14
                        8  3.2398     0.5207               1.6212 3.6675e-01
                        2  2.2957     0.4793               2.5653 3.3745e-01
 51  4.7950    4.0-                          8.2735e-01                       6.9000e-14
                       23  4.0460     0.1491               0.7490 1.2333e-01
                       21  3.8523     0.2254               0.9427 1.8646e-01
                       18  3.7825     0.1236               1.0125 1.0225e-01
                        8  3.2398     0.3637               1.5552 3.0081e-01
                        7  3.2240     0.1382               1.5710 1.1430e-01
 50  4.7941    3.0-                          9.4781e-01
                        2  2.2957     0.8718               2.4985 8.2550e-01
                        0  0.0000     0.1282               4.7941 1.2137e-01
 49  4.7923    1.0+                          5.3584e-01                       2.8000e-14
                       15  3.6995     0.0477               1.0928 2.5562e-02
                       11  3.3709     0.0377               1.4214 2.0176e-02
                        3  2.4211     0.4120               2.3712 2.2065e-01
                        1  0.9835     0.5027               3.8087 2.6906e-01
 48  4.7833    4.0-                          8.3577e-01
                        2  2.2957     0.3334               2.4877 2.7838e-01
                        1  0.9835     0.6666               3.7998 5.5669e-01
 47  4.7577    4.0+                          8.0217e-01
                       13  3.6168     0.8332               1.1409 6.6830e-01
                        1  0.9835     0.1668               3.7742 1.3365e-01
 46  4.7191    4.0+                          8.2957e-01                       6.6000e-14
                        8  3.2398     0.6859               1.4794 5.6893e-01
                        7  3.2240     0.3141               1.4952 2.6054e-01
 45  4.5890    0.0+                          1.7422e-01
                       15  3.6995     0.2500               0.8895 4.3556e-02
                       27  4.1969     0.2500               0.3921 4.3556e-02
                       32  4.3480     0.2500               0.2410 4.3556e-02
                       43  4.5670     0.2500               0.0220 4.3556e-02
 44  4.5807    3.0-                          1.1523e+00                       2.8000e-14
                       10  3.3588     0.2886               1.2219 3.3254e-01
                        3  2.4211     0.0905               2.1596 1.0421e-01
                        2  2.2957     0.1896               2.2850 2.1830e-01
                        1  0.9835     0.4313               3.5972 4.9625e-01
 43  4.5670    1.0-                          7.8563e-01
                        0  0.0000     0.0526               4.5670 4.1349e-02
                        1  0.9835     0.0526               3.5835 4.1349e-02
                        3  2.4211     0.0526               2.1459 4.1349e-02
                        5  2.9972     0.0526               1.5698 4.1349e-02
                        6  3.0620     0.0526               1.5050 4.1349e-02
                       11  3.3709     0.0526               1.1961 4.1349e-02
                       13  3.6168     0.0526               0.9502 4.1349e-02
                       14  3.6330     0.0526               0.9340 4.1349e-02
                       17  3.7386     0.0526               0.8284 4.1349e-02
                       20  3.8520     0.0526               0.7150 4.1349e-02
                       22  4.0352     0.0526               0.5318 4.1349e-02
                       24  4.0745     0.0526               0.4925 4.1349e-02
                       26  4.1020     0.0526               0.4650 4.1349e-02
